
fac_no_faction|소속 없음
fac_commoners|평민
fac_outlaws|무법자
fac_neutral|중립
fac_innocents|시민
fac_merchants|상인
fac_wild_animals|야생 동물
fac_player_faction|플레이어의 국가
fac_player_supporters_faction|플레이어의 국가
fac_kingdom_1|베일(아린 가문)
fac_kingdom_2|드래곤스톤(스타니스 세력)
fac_kingdom_4|북부(스타크 가문)
fac_kingdom_5|리버랜드(툴리 가문)
fac_kingdom_6|리치(티렐 가문)
fac_kingdom_8|강철 군도(그레이조이 가문)
fac_kingdom_9|도른(마르텔 가문)
fac_kingdom_18|웨스터랜드(라니스터 가문)
fac_kingdom_22|스톰랜드(렌리 세력)
fac_kingdom_14|타르가르옌 가문
fac_kingdom_14_1|타르가르옌 가문
fac_kingdom_11|자유민/와일들링
fac_kingdom_10|나이트 워치
fac_kingdom_12|도트라키 부족
fac_kingdom_13|펜토스
fac_kingdom_3|노르보스
fac_kingdom_15|미르
fac_kingdom_16|티로시
fac_kingdom_17|로라스
fac_kingdom_19|리스
fac_kingdom_20|쿼호르
fac_kingdom_21|볼란티스
fac_kingdom_7|브라보스
fac_astapor|아스타포르
fac_hill_tribes|산악 부족들
fac_windblown|풍찬노숙단
fac_golden_company|황금 용병단
fac_second_sons|차남단
fac_stormcrows|폭풍까마귀단
fac_the_faith_of_the_seven|칠신교
fac_old_gods_of_the_forest|'옛 신'의 성직자
fac_drowned_gods|익사한 신
fac_rhllor|를로르
fac_manhunters|형제단
fac_deserters|탈영병
fac_forest_bandits|숲 도적
fac_dothraki_raiders|도트라키의 돌격대원
fac_northern_clansmen|산의 씨족들
fac_whitewalkers|화이트 워커
fac_apoyoplayer|중립
fac_ccoop_all_stars|올 스타
