
menu_start_game_0|당신은 기만과 배신의 세계로 나아갈 각오를 하고 있다.
mno_introduccion|서장 보기
mno_continue|계속...
mno_go_back|뒤로 가기
menu_start_phase_2|당신은 국왕령에 있는 웨스테로스의 동부 해안에 있는 붐비는 도시인 킹스 랜딩에 도착하면 이른 시간인 아침입니다. '폭풍의 왕' 로버트 바라테온의 소식을 듣고 여기까지 오셨군요.^기후는 따뜻하고 분위기는 편안하군요. 수도 주변의 엄숙한 침묵 외에는, 모든 것이 평범한 날처럼 보인다.^당신은 자매의 거리에서 비센야의 언덕과 바엘로르의 대셉트를 멀리서 보았습니다.
mno_town_1|계속...
menu_start_game_3|시나리오를 선택하세요.
menu_tutorial|무기 수련장에 도착했습니다. 당신은 이 곳에서 훈련을 통해 전투 기술을 향상시킬 수 있습니다.
mno_go_back_dot|돌아가기.
menu_reports|보고서 메뉴 ^^^^ {s1} ^
mno_dplmc_show_economic_report|도시 발전도 보고서를 봅니다.
mno_spy_report|스파이 정보 보기.
mno_troop_quarters|병종 관리.
mno_reset_static_wars|정적 전쟁을 해제.
mno_lord_relations|군주들 보기.
mno_courtship_relations|구애 관계 보기.
mno_Companions_overview|동료 정보 보기.
mno_view_faction_relations_report|팩션 관계 보기.
mno_view_player_companion_report|플레이어와 동료 정보 보기.
mno_resume_travelling|여행을 계속한다.
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|전투가 끝났습니다. {s1} 아군의 피해 {reg5} 적들의 피해 {reg6} . 당신은 싸우는 중 개인적으로 {reg7} 명의 사람들을 죽였습니다.
menu_set_up_game|취향에 따라 원하는 것을 선택하십시오. 이에 따라 다양한 결과의 이름과 결과가 적절히 변경될 것이다.
mno_yara_greyjoy|당신은  HBO GoT's TV 시리즈에 따라 이름이 붙여지는 것이 좋다.
mno_asha_greyjoy|당신은 얼음과 불의 노래의 책에 따라 이름이 붙여지는 것이 좋다.
menu_set_up_wars|시나리오를 선택하십시오 : ^^ 정적 전쟁 : '다섯 왕의 전쟁'에 따라 웨스테로스의 가문들의 외교 활동이 봉쇄됩니다. ^^ 일반적인 : 위와 동일 하나, 모든 파벌 (나이트 워치 제외)은 자유롭게 전쟁과 평화를 선언 할 수 있습니다.
mno_static_wars|정적 전쟁
mno_normal_wars|일반적인
menu_start_game_1|얼음과 불의 세계에 오신 걸 환영합니다. 기만과 배신의 세계에 던지기 전에 당신의 성격을 만들어 내야 합니다.
mno_start|캐릭터 생성
mno_quit|취소
menu_start_character_1|당신은 몇 년 전에 태어났다. 당신의 아버지는...
mno_start_noble|몰락한 귀족
mno_start_merchant|여행 상인
mno_start_guard|베테랑 전사
mno_start_forester|도트라키 부족원
mno_start_nomad|자유민
mno_start_thief|도둑
menu_start_character_2|{s10}^^ 당신이 걸음마를 시작하고 세상에 대해 깨우쳐 갈 때 당신이 삶은...
mno_page|백작의 시종으로 자랐다
mno_apprentice|유명한 장인의 수제자로 자랐다
mno_stockboy|가게 조수로 자랐다
mno_urchin|거리의 양아치로 살아갔다.
mno_nomad|대초원의 아이로 자라났다
menu_start_character_3|{s11}^^ 그 후 새내기 어른으로서의 삶은 항상 당신 스스로가 원하는 대로 바뀌어갔습니다. 당신은...
mno_squire|기사의 종자가 되었다
mno_lady|시종이 되었다
mno_troubadour|음유시인이 되었다
mno_student|대학의 학생이 되었다
mno_peddler|행상인이 되었다
mno_craftsman|대장장이가 되었다
mno_poacher|밀렵꾼이 되었다
menu_start_character_4|{s12}^^하지만 곧 모든 것이 바뀌었고 당신은 모험가가 되기로 결심했습니다. 무엇이 이런 결정을 하게 만들었냐면...
mno_revenge|개인적인 복수 때문에
mno_death|사랑했던 연인이 죽은 허탈감 때문에
mno_wanderlust|방랑벽 때문에
mno_disown|집에서 나오도록 압력을 받아서
mno_greed|돈과 권력에 대한 열망으로
menu_choose_skill|{s13}
mno_begin_adventuring|모험가가 되어 당신의 운명을 따르라.
menu_past_life_explanation|{s3}
mno_view_next|{s5}
menu_morale_report|{s1}
menu_courtship_relations|{s1}
menu_lord_relations|{s1}
menu_companion_report|{s7}{s1}
menu_character_report|{s9}
menu_party_size_report|{s1}
menu_faction_relations_report|{s1}
menu_camp|야영지를 건설했습니다. 무엇을 하시겠습니까?
mno_camp_action|행동을 취하기
mno_camp_wait_here|이 곳에서 야영하기
menu_camp_action_rest|야영지를 세우면 힘든 여정으로 피곤해진 부대원들이 휴식을 취할 수 있습니다. 또한 식량을 구해오게 할 수 있어 식량 공급이 증가합니다. 특히 적진과 같은 식량을 공급하기 힘든 지역에서 매우 유용하게 사용하실 수 있습니다.
menu_build_refuge_new|당신의 사람들이 은신처를 세워라는 명령이 내려지기만을 기다리고 있습니다. 은신처를 세우기에 충분한 자원을 모았고, 누락된 자원이 있다면 주변 마을에서 구매할 수 있습니다.^^총 비용: 5,000 실버.^소요 시간: 6 시간.
mno_refuge_here|명령을 내립니다.
menu_camp_cheat|치트 선택:
mno_camp_cheat_change_weather|날씨 변경..
menu_camp_action|당신의 행동을 선택하세요:
mno_camp_recruit_prisoners|포로들 중 일부를 파티로 받아들인다.
mno_action_prebattle_custom_divisions|분할 부대 지정 관리.
mno_action_export_import|동료 수정하기
mno_camp_cheat|치트 메뉴!
mno_jump_to_scene|debug: test scene menu
mno_camp_smoke_food|가방에 있는 음식재료를 불에 익힌다.
mno_camp_action_4|캠프메뉴로 돌아가기.
menu_camp_recruit_prisoners|포로들이 당신에게 합류하기를 희망한다면 그들에게 자유를 줍니다. {s18}
mno_camp_recruit_prisoners_accept|받아들인다.
mno_camp_recruit_prisoners_reject|거절한다.
menu_camp_no_prisoners|전향시킬 포로가 없습니다.
menu_camp_action_read_book|책을 선택하시오:
mno_action_read_book_1|{s1}.
mno_action_read_book_2|{s1}.
mno_action_read_book_3|{s1}.
mno_action_read_book_4|{s1}.
mno_action_read_book_5|{s1}.
mno_action_read_book_6|{s1}.
mno_action_read_book_7|{s1}.
menu_camp_action_read_book_start|{s1}
menu_export_import_npcs|동료를 선택하시고 캐릭터창(기본키C)을 열고 통계란에서 내보내기/불러오기를 해주세요. ^^{reg0?{s0}:none}을(를) 선택하셨습니다.
mno_export_import_back|뒤로 가기
mno_export_import_npc1|{s0}
mno_export_import_npc2|{s0}
mno_export_import_npc3|{s0}
mno_export_import_npc4|{s0}
mno_export_import_npc5|{s0}
mno_export_import_npc6|{s0}
mno_export_import_npc7|{s0}
mno_export_import_npc8|{s0}
mno_export_import_npc9|{s0}
mno_export_import_npc10|{s0}
mno_export_import_npc11|{s0}
mno_export_import_npc12|{s0}
mno_export_import_npc13|{s0}
mno_export_import_next|다음 페이지
menu_export_import_npcs_2|동료를 선택하시고 캐릭터창(기본키C)을 열고 통계란에서 내보내기/불러오기를 해주세요.^^{reg0?{s0}:none}.을(를) 선택하셨습니다.
mno_export_import_prev|이전 페이지
mno_export_import_npc14|{s0}
mno_export_import_npc15|{s0}
mno_export_import_npc16|{s0}
mno_export_import_npc17|{s0}
mno_export_import_npc18|{s0}
mno_export_import_npc19|{s0}
mno_export_import_npc20|{s0}
mno_export_import_npc21|{s0}
mno_export_import_npc22|{s0}
mno_export_import_npc23|{s0}
mno_export_import_npc24|{s0}
