str_no_string|NO STRING!
str_empty_string| 
str_yes|네.
str_no|아니오.
str_blank_string| 
str_noone|아무도 없음
str_s50_and_s51|{s50}와(과) {s51}
str_s52_and_s51|{s52}와(과) {s51}
str_s5_s_party|{s5}의 부대
str_given_by_s1_at_s2|{s1}가 {s2}에게 넘겼습니다.
str_given_by_s1_in_wilderness|필드에 있는 동안 {s1}에게 주어졌습니다
str_s7_raiders|{s7}의 강도들
str_bandits_eliminated_by_another|문제를 일으키는 강도들은 다른 부대에 의해 전멸했습니다.
str_keyconfig|키 설정
str_keyesc|설정할 키를 누르세요^^Esc를 누르면 비활성화
str_press_any|키를 누르세요
str_ok|확인
str_reset|리셋
str_default|초기설정
str_disable_all|모두 비활성화
str_msg_battle_won|전투에서 승리했습니다! TAB키를 누르면 나갑니다.
str_tutorial_map1|충돌에 문제가 있을 경우 캠프 -> 옵션에서 3D 조경을 비활성하십시오. 이 모드는 하드코어 난이도로 기본 설정되어 있습니다. 어려운 경우 캠프 -> 옵션으로 이동하여 설정을 변경하십시오. 이 모드는 HDR을 해제한 상태에서 가장 잘 재생됩니다.
str_randomize|무작위로 고르기
str_charge|문장
str_color|색상
str_flip_horizontal|상하 뒤집기
str_flip_vertical|좌우 뒤집기
str_hold_fire|사격 중지
str_blunt_hold_fire|둔기 / 사격 중지
str_tutorial_ammo_refilled|무기가 재장전되었습니다.
str_tutorial_failed|실패했지만 괜찮습니다. 안내를 잘 따르면 다음에는 더 잘할 수 있을 겁니다. Tab 키를 눌러 메뉴로 돌아가서 튜토리얼을 다시 시도할 수 있습니다.
str_finished|(완료)
str_delivered_damage|{reg60}만큼의 타격을 입혔다.
str_archery_target_hit|거리: {reg61} 야드. 점수: {reg60}
str_use_baggage_for_inventory|전투 중 가방을 사용하기 위해서는 상자를 이용해야 합니다. (상자는 전투 시작 지점에 있습니다)
str_cant_use_inventory_now|지금은 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_arena|투기장에서는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_disguised|변장한 상태에서는 인벤토리를 사용할 수 없습니다.
str_cant_use_inventory_tutorial|훈련 캠프에서는 인벤토리를 사용할 수 없습니다.
str_1_silver_stag|1 실버
