
qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{reg61}.{reg62}|{reg61}.{reg62}
qstr_Shot_distance:_{s1}_|발사 거리: {s1} 미터.
qstr_Gate_was_destroyed.|입구가 파괴되었습니다.
qstr_drawbridge_was_destr|도개교가 파괴되었습니다.
qstr_Battering_ram_was_de|공성추가 파괴되었습니다.
qstr_Portcullis_was_destr|쇠창살문이 파괴되었습니다.
qstr_Draw_bridge_was_dest|도개교가 파괴되었습니다.
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_A_World_of_Ice_and_F|얼음과 불의 세계 3.0
qstr_Next_Page|다음 페이지
qstr_Game_Rules:^|게임 방식:^
qstr_0|0
qstr_Show_game_rules|게임 방식 보기
qstr_Continue...|계속...
qstr_Candidate_#1:_{s1}|후보자 #1: {s1}
qstr_Candidate_#2:_{s1}|후보자 #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s4}에 {s3}이(가) 가신 회의에서 새로운 총사령관을 선택하기를 바라고 있습니다. 후보자는 {s1}와(과) {s2} 같습니다.
qstr_Who_do_you_wish_to_s|누구를 지원하겠습니까?
qstr_{s1}_gives_his_suppo|{s1}이(가) {s2}를 지원하였습니다.
qstr_Number_of_Supporters|지원병 수: {reg0}
qstr_{s2}_has_heard_his_v|{s2}은 가신 회의로부터 소식을 전해들었습니다. 회의는 결과는 {s3}의 총사령관으로 {s1}가 선출되었습니다.
qstr_Done|완료
qstr_Select_your_domestic|당신의 정치유형을 선택
qstr_Centralization:|중앙집권화:
qstr_Aristocracy:|귀족정치:
qstr_Serfdom:|농노위주:
qstr_Troop_quality:|병력의 질:
qstr_Mercantile:|상업성:
qstr_High_centralization_|높은 중앙 집권화는 세금 비효율을 감소시킵니다. 하지만 군주와 가신들 사이가 나빠질수 있습니다.
qstr_High_aristocracy_wil|귀족정치는 군주와 가신의 사이가 양호하고 각 군대의 규모를 키우는데 유리하지만 교역이 감소해 자금문제가 발생합니다.
qstr_High_serfdom_reduces|농노를 위한 정치는 세금 비효율을 감소시키고 군대의 규모를 키우는데 매우 유리하지만 사기가 아주 낮아 집니다.
qstr_High_troop_quality_i|군대의 질을 높이는 것은 소수정예를 뜻합니다.
qstr_Mercantile_policies_|중상주의는 수출을 극대화하고 수입을 최소화 시켜, 각종 산업을 육성하는 것입니다.
qstr_Cancel|취소l
qstr_Dictate_the_peace_te|평화 약관을 지시
qstr_Select_the_castle_an|성과 돈의 양을 설정하고 상자를 체크하여 해당 요구를 활성화 시킵니다. 상자가 체크되어야 요구가 정상적으로 처리됩니다.
qstr_1000_silver_stags|1000 실버
qstr__Continue_| 계속
qstr_Select_the_number_of|임무를 수행할 숫자를 선택하시오.
qstr_____SPY_REPORTS____|    스파이 보고서  
qstr_Based_on_your_curren|당신의 리더쉽 스킬에 기반하여, {reg2}의 스파이가 운용 가능하다.
qstr_You_currently_have_{|당신은 현재 {reg3}의 스파이를 운용하고 있다.
qstr___No_spy_selected.__|  선택된 스파이 없음.   
qstr___CONTINUE__|  계속
qstr_castle|성
qstr_food_stores.|식료품 가게.
qstr_town|도시
qstr_village|마을
qstr_cattle.|가축.
qstr_You_prepare_a_messag|{s1}의 스파이를 위한 메시지를 준비합니다. 그에게 내릴 지시는.....
qstr__Return_| 돌아가기 
qstr__poison_{s2}_well._|{s2}의 우물에 독을 타라. 
qstr__poison_{s2}_{s3}._|{s2}의 {s3}를 중독시켜라. 
qstr__cause_dissent._| 내분을 일으켜라. 
qstr_____|    
qstr_Do_it.|그리 하겠습니다.
qstr_Make_it_so.|그대로 하지요.
qstr_Have_your_fun.|재밌겠군요.
qstr_I_shall_mix_the_conc|우물에 투하할 이 약품을 조제하는데 12시간 필요합니다, 마이 {로드/레이디}.
