
skl_trade|상술
skl_trade_desc|1포인트 당 상거래 패널티가 5%% 감소됩니다. (부대 기술)
skl_leadership|지도력
skl_leadership_desc|1포인트 당 지휘 가능한 최대 병사 수가 10명씩 증가하며, 5%%씩 부대의 급료를 절감합니다. (파티/지도자 기술)
skl_prisoner_management|포로 관리
skl_prisoner_management_desc|1포인트 당 최대 포로 수가 10명씩 증가하고 포로 지휘관이 탈출할 확률이 2%% 감소합니다. Lords have a chance to escape captivity each week: 30%% held in the party, 15%% held in castle/town, 5%% held in a castle/town with prison tower. (지도자 기술)
skl_entertain|예능력
skl_entertain_desc|Every day that you rest, each hero with this skill increases the morale of the party. It also helps you while begging or performing. Drive it past 10, you could become the next bardic sensation! (개인 기술).
skl_reserved_2|Reserved Skill 2
skl_reserved_2_desc|This is a reserved skill.
skl_reserved_3|Reserved Skill 3
skl_reserved_3_desc|This is a reserved skill.
skl_reserved_4|Reserved Skill 4
skl_reserved_4_desc|This is a reserved skill.
skl_persuasion|설득력
skl_persuasion_desc|다른 사람이 당신의 의견을 수락할 확률을 올려줍니다. Increases ability to negotiate surrender in sieges. Each rank increases number of troops recruited from villages by 1 and reduces the commission of each recruited villager by 1 silver stag. Increases amount of supplies you convince villagers to hand over by 3%%. (개인 기술)
skl_engineer|기계공
skl_engineer_desc|공성병기의 제작 및 영지 발전시설 건설 시 효율성이 증가합니다. (부대 기술)
skl_first_aid|응급처치
skl_first_aid_desc|1포인트 당 영웅이 임무 중에 잃은 체력을 스킬당 5%%씩 회복합니다. (부대 기술)
skl_surgery|수술
skl_surgery_desc|1포인트 당 아군이 사망하는 대신 부상당할 확률이 4%%씩 증가합니다. (부대 기술)
skl_wound_treatment|상처 치료
skl_wound_treatment_desc|1포인트 당 부대 내 병력의 체력회복 속도가 20%%씩 증가합니다. Additionally, each point increases the chance that deep wounds will heal better by 5%%.(부대 기술)
skl_inventory_management|재고 관리
skl_inventory_management_desc|1포인트 당 가방의 공간이 6칸 증가합니다. (지도자 기술)
skl_spotting|감지
skl_spotting_desc|1포인트 당 부대의 시야거리가 10%%씩 증가합니다. (부대 기술)
skl_pathfinding|길찾기
skl_pathfinding_desc|1포인트 당 전체지도 상에서 부대의 이동속도가 3%%씩 증가합니다. (부대 기술)
skl_tactics|전략가
skl_tactics_desc|2포인트 당 전투시의 유리함이 1만큼 증가합니다. (부대 기술)
skl_tracking|추적술
skl_tracking_desc|흔적으로부터 더욱 많은 정보를 얻을 수 있습니다. (부대 기술)
skl_trainer|훈련교관
skl_trainer_desc|이 능력을 가진 영웅은 해당 영웅보다 레벨이 낮은 부대원들에게 매일 자정에 레벨 당 {4,10,16,23,30,38,46,55,65,80} 만큼의 경험치를 전해줍니다. (개인 기술)
skl_navigating|항해술
skl_navigating_desc|Every level of this skill increases movement speed of your ship by 3%%. Provides benefits in naval combat. (부대 기술)
skl_sailing_master|출항 마스터
skl_sailing_master_desc|Every point increases the maximum number of ships you can command. (지도자 기술)
skl_reserved_7|Reserved Skill 7
skl_reserved_7_desc|This is a reserved skill.
skl_foraging|식량 찾기
skl_foraging_desc|Allows the party to forage for 5 food per skill level (camp, siege, raiding) and increase foraging range. (부대 스킬)
skl_looting|노획
skl_looting_desc|1포인트 당 전투 후 획득하는 전리품의 총계를 10%%씩 늘려줍니다. 스킬 수치가 높아질수록 마을 약탈 시간이 줄어듭니다. (부대 기술)
skl_horse_archery_desc|말에 타고 있을 때 활과 투척무기의 공격력과 정확도에 대한 패널티가 감소합니다. 최대 레벨 8 (개인 기술)
skl_riding|승마술
skl_riding_desc|보다 높은 수준의 말을 탈 수 있고, 말의 기동능력과 이동속도가 증가합니다. (개인 기술)
skl_athletics|운동능력
skl_athletics_desc|보행시 속도가 상승합니다. (개인 기술)
skl_shield|방패기술
skl_shield_desc|1포인트 당 방패로 전달되는 공격력의 8%%를 감소시키고, 방패의 사용속도와 방어 범위가 증가합니다. (개인 기술)
skl_weapon_master|무기 숙련
skl_weapon_master_desc|무기의 숙련도 성장 속도를 높여주며 숙련도 투자 한계치를 40씩 올립니다. { 60, 100, 140, 180, 220, 260, 300, 340, 380, 420 } Also dictates the speed at which your weapon could break (개인 기술)
skl_reserved_9|Reserved Skill 9
skl_reserved_9_desc|This is a reserved skill.
skl_reserved_10|Reserved Skill 10
skl_reserved_10_desc|This is a reserved skill.
skl_reserved_11|Reserved Skill 11
skl_reserved_11_desc|This is a reserved skill.
skl_reserved_12|Reserved Skill 12
skl_reserved_12_desc|This is a reserved skill.
skl_reserved_13|Reserved Skill 13
skl_reserved_13_desc|This is a reserved skill.
skl_power_draw_desc|캐릭터가 좀 더 강한 활을 사용할 수 있게 해줍니다. 이 기술에 1포인트를 줄 때마다 활의 공격력이 14%% 상승합니다. (개인 기술)
skl_power_throw|던지는 힘
skl_power_throw_desc|투척 무기의 정확도가 소폭 상승합니다. 이 기술에 1포인트를 줄 때마다 투척 공격력이 10%% 상승합니다. (개인 기술)
skl_power_strike|타격하는 힘
