dlga_start:close_window.1|{s3}
dlga_start:close_window.2|This person looks quite busy. I think I shouldn't interrupt...
dlga_start:close_window.3|This person looks quite busy. I think I shouldn't interrupt...
dlga_start:ovkun_talk|You think you're better than us, huh.
dlga_ovkun_talk:ovkun_talk_2|I have never said anything like that...
dlga_ovkun_talk_2:ovkun_talk_3|So you think I'm stronger than you?
dlga_ovkun_talk_3:ovkun_talk_4|Yes.
dlga_ovkun_talk_4:ovkun_fight_start|I do not like to be mocked.
dlga_ovkun_talk_3:ovkun_reason|Well, no. We are equals. So it would not be smart to start a fight in which both of us may lose, right?
dlga_ovkun_reason:close_window|Well, you are right about that. I want to lose in a fight no more than you. I hope to see you again.
dlga_ovkun_talk:ovkun_fight_start|I certainly am!
dlga_ovkun_fight_start:close_window|I'll wipe that smirk right off your face!
dlga_member_chat:khivachis_talk|It is an honor to be a part of your fine company of men.
dlga_khivachis_talk:skills_k1|I want to see your skills.
dlga_skills_k1:skills_k2|Very well.
dlga_skills_k2:khivachis_talk|Done.
dlga_khivachis_talk:close_window|I think we need to part our ways.
dlga_khivachis_talk:close_window.1|Thank you.
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|I wish to defer the appointment of a lord, until I take the counsel of my subjects
dlga_award_fief_to_vassal_defer:close_window|As you wish, {reg33?my lady:sire}. You may decide this matter at a later date.
dlga_award_fief_to_vassal_2:close_window|As you wish, {reg33?my lady:sire}. {reg6?I:{reg7?You:{s11}}} will be the new {reg33?lady:lord} of {s1}.
dlga_event_triggered:center_captured_rebellion|{s1} is not being managed by anyone. Whom shall I put in charge?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|{reg0?{s65}:Please {s65}}, I want to have {s1} for myself. (fiefs: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, you should have {s1} for yourself. (fiefs: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|You should appoint no one yet, and decide later.
dlga_center_captured_rebellion_2_defer:close_window|Hmmm. All right, {playername}. I value your counsel highly.  I shall defer appointment of a lord for {s1} for the time.
dlga_center_captured_rebellion_2:close_window|Hmmm. All right, {playername}. I value your counsel highly. {reg6?I:{reg7?You:{s11}}} will be the new {reg3?lady:lord} of {s1}.
dlga_start:fighter_talk|Hello there. We are polishing off our combat skills here with a bit of sparring practice.You look like you could use a bit of training. Why don't you join us, and we can show you a few tricks.And if you need explanation of any combat concepts, just ask, and I will do my best to fill you in.
dlga_start:fighter_talk.1|What do you want to practice?
dlga_fighter_pretalk:fighter_talk|Tell me what kind of practice you want.
dlga_fighter_talk:fighter_talk_train_attack|I want to practice attacking.
dlga_fighter_talk:fighter_talk_train_parry|I want to practice blocking with my weapon.
dlga_fighter_talk:fighter_talk_train_combat|Let's do some sparring practice.
dlga_fighter_talk:close_window|[Leave]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|All right. There are four principle directions for attacking. These are overhead swing, right swing, left swing and thrust. Now, I will tell you which direction to attack from and you must try to do the correct attack.^^(Move your mouse while you press the left mouse button to specify attack direction. For example, to execute an overhead attack, move the mouse up at the instant you press the left mouse button.The icons on your screen will help you do the correct action.)
dlga_fighter_talk_train_attack_2:close_window|Let's begin then. I am ready.
dlga_fighter_talk_train_attack_2:fighter_pretalk|Actually I want to do something else.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|Unlike a shield, blocking with a weapon can only stop attacks coming from one direction.For example if you block up, you'll deflect overhead attacks, but you can still be hit by side swings or thrust attacks.^^(You must press and hold down the right mouse button to block.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|I'll now attack you with different types of strokes, and I will wait until you do the correct block before attacking.Try to do the correct block as soon as you can.^^(This practice is easy to do with the 'automatic block direction' setting which is the default.If you go to the Options menu and change defend direction control to 'mouse movement' or 'keyboard', you'll need to manually choose block direction. This is much more challenging, but makes the game much more interesting.This practice can be very useful if you use manual blocking.)
dlga_fighter_talk_train_parry_3:close_window|Let's begin then. I am ready.
dlga_fighter_talk_train_parry_3:fighter_pretalk|Actually I want to do something else.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|Sparring is an excellent way to prepare for actual combat.We'll fight each other with non-lethal weapons now, until one of us falls to the ground.You can get some bruises of course, but better that than being cut down in the real thing.
