menu_start_game_0|Welcome to the land of Perisno. Where elves and giants roam in the ancient moors and forests, where dwarves craft great works and men form mighty empires. Dragons lurk in dark abodes of stories old, with vast and exotic lands abound. There are many powerful kingdoms and empires waging war for control of all the land, whilst smaller groups and factions stake out their own claims and rivalries, sowing havoc and destruction in their wake upon the populace. You have been chosen to rise into greatness, to find your destiny. Enter adventurer, into the world of Perisno!
mno_continue|Continue...
mno_go_back|Go back
menu_start_phase_2|{s1}
mno_town_1|Join a caravan to Lesbere, in the Kingdom of Tolrania
mno_town_2|Join a caravan to Murdenholl, in the Reich des Drachen.
mno_town_3|Join a caravan to Khul Vara, in the Drahara Desert Nation.
mno_town_4|Take a ship to Maccan, in the Maccavian Republic.
mno_town_5|Take a ship to Forniron, in the Elintoran Nation.
mno_town_6|Join a caravan to Amarna, in the Hakkon Empire.
menu_start_game_3|Choose your scenario:
menu_tutorial|You approach a field where the locals are training with weapons. You can practice here to improve your combat skills.
mno_go_back_dot|Go back.
menu_reports|Character Renown: {reg5}^Honor Rating: {reg6}^Party Morale: {reg8}^Party Size Limit: {reg7}^
mno_troop_tree_viewer|View Troop Trees
mno_troop_tree_viewer_minor|View Troop Trees (minor factions)
mno_action_view_trade_ledger|View Your Trade Ledger.
mno_action_view_trade_ledger_denied|Assess Items to start your Trade Ledger.
mno_view_character_report|View character report.
mno_view_party_size_report|View party size report.
mno_view_weekly_budget_report|View weekly budget report.
mno_view_morale_report|View party morale report.
mno_view_bank_report|View Financial Report
mno_dplmc_show_economic_report|View prosperity report.
mno_view_political_reports|View Political and Courtship Reports
mno_view_reference_materials|Reference Material
mno_resume_travelling|Resume travelling.
menu_reports_political|Political and Courtship Reports
mno_view_npc_mission_report|View companion mission report.
mno_lord_relations|View list of known lords by relation.
mno_view_affiliated_family_report|View affiliated family member / spouse report.
mno_courtship_relations|View courtship relations.
mno_view_faction_relations_report|View faction relations report.
menu_reference_reports|Reference Material
mno_action_view_all_troops1|View All Troops (main factions)
mno_action_view_all_troops2|View All Troops (minor factions)
mno_action_view_all_items|View All Items
mno_return|Return
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|The battle is over. {s1} Your side killed {reg5} enemies and lost {reg6} troops over the battle. You personally slew {reg7} men in the fighting.
menu_start_game_0_5|Toggle Mod Options (Permanent)
mno_fog_of_war|Toggle Fog of War (Currently: {s10})
mno_troop_skill|Toggle Troop skill difficulty (Currently: {s10})
mno_hard_mode|Toggle Hard Mode (Currently: {s10})
menu_start_game_1|Select your character's gender.
mno_start_male|Male
mno_start_female|Female
menu_start_game_male|Select your character's race.
mno_start_human_male|Human Male
mno_start_elven_male|Elven Male
mno_start_dwarf_male|Dwarven Male
mno_start_giant_male|Giant Male
menu_start_game_female|Select your character's race.
mno_start_human_female|Human Female
mno_start_elven_female|Elven Female
mno_start_dwarven_female|Dwarven Female
menu_start_game_human|Where were you born?
mno_start_human_northern|A cold island far to the north.
mno_start_human_western|A small village on Perisno's western coast.
mno_start_human_native_warband_backstory|A land far from Perisno (Classic Start).
menu_start_game_dwarf|Where were you born?
