p_zendar|Mistylake City
p_town_1|Maccan
p_town_2|Forde
p_town_3|Lille
p_town_4|Leuven
p_town_5|Forniron
p_town_6|Lesbere
p_town_7|Vinica
p_town_8|Murdenholl
p_town_9|Voldeberg
p_town_10|Khul Vara
p_town_11|Freising
p_town_12|Arendal
p_town_13|Reichberg
p_town_14|Krain
p_town_15|Elsinore
p_town_16|Galwe
p_town_17|Uliastai
p_town_18|Bulgan
p_town_19|Amarna
p_town_20|Vellinaz
p_town_21|Sut
p_town_22|Arish
p_town_23|Grund
p_town_24|Grozny
p_town_25|Fountain Hall
p_town_26|Karnoth
p_town_27|Dwallnor
p_town_28|Qaletaqa
p_town_29|Tumatarhun
p_castle_1|Esahil Castle
p_castle_2|Namauk Castle
p_castle_3|Hafen Castle
p_castle_4|Arklow Castle
p_castle_5|Yorid Castle
p_castle_6|Federo Castle
p_castle_7|Demaig Castle
p_castle_8|Rhenstal Castle
p_castle_9|Azure Keep
p_castle_10|Julre Castle
p_castle_11|Verek Castle
p_castle_12|Laidir Castle
p_castle_13|Headow Castle
p_castle_14|Maelond Castle
p_castle_15|Lyndel Castle
p_castle_16|Serin Castle
p_castle_17|Selansir Castle
p_castle_18|Gral Castle
p_castle_19|Glatteis Castle
p_castle_20|Dillac Castle
p_castle_21|Ianthas Castle
p_castle_22|Omigan Castle
p_castle_23|Panmandot Castle
p_castle_24|Cournin Castle
p_castle_25|Valellon Castle
p_castle_26|Riar Castle
p_castle_27|Kilnar Keep
p_castle_28|Waal Castle
p_castle_29|Norberg Castle
p_castle_30|Urlabay Castle
p_castle_31|Westrey Castle
p_castle_32|Anlux Castle
p_castle_33|Efenas Castle
p_castle_34|Harrath Castle
p_castle_35|Enduin Castle
p_castle_36|Farraige Castle
p_castle_37|Dasselocht Castle
p_castle_38|Temesin Castle
p_castle_39|Steinturm Castle
p_castle_40|Jezatt Castle
p_castle_41|Aolas Castle
p_castle_42|Sasspegah Castle
p_castle_43|Alef Castle
p_castle_44|Dailin Castle
p_castle_45|Hasaca Castle
p_castle_46|Desert Outpost
p_castle_47|Samarra Castle
p_castle_48|Bardaq Castle
p_castle_49|Alnar Castle
p_castle_50|Amarhus Castle
p_castle_51|Fimbul Castle
p_castle_52|Wotin Castle
p_castle_53|Falcon's Pride
p_castle_54|Falconclaw
p_castle_55|Falconhead
p_castle_56|Falconwatch
p_castle_57|Falconwaters
p_castle_58|Shards Keep
p_castle_59|Longbeard Keep
p_castle_60|Kahhadir Keep
p_castle_61|Hornogoth Keep
p_castle_62|Tabranpadan Castle
p_castle_63|Steorac Castle
p_castle_64|Huradan Castle
p_castle_90|Zann Fort
p_village_1|Galbar
p_village_2|Arcross
p_village_3|Yascon
p_village_4|Ander
p_village_5|Bravan
p_village_6|Soveil
p_village_7|Ellcour
p_village_8|Stuin
p_village_9|Tempe
p_village_10|Kolines
p_village_11|Lifwen
p_village_12|Esari
p_village_13|Logebur
p_village_14|Mistelholz-Kollern
p_village_15|Valellon
p_village_16|Bebbanburg
p_village_17|Wittinghausen
p_village_18|Angern
p_village_19|Horitzdorf
p_village_20|Krumau
p_village_21|Vogeltenne
p_village_22|Rossenberg
p_village_23|Themar
p_village_24|Arcady
p_village_25|Ubi Dahae
p_village_26|Pluvian
p_village_27|Cuetlu
p_village_28|Malarkona
p_village_29|Camp of Zann Colonists
p_village_30|Pomelach
