qstr_You_have_equipped_an|You have equipped an item restricted for this race. It will be returned to your inventory once you enter the world map, or destroyed if you lack inventory space.
qstr_Restricted_Item|Restricted Item
qstr_{reg1}.0|{reg1}.0
qstr_{reg1}.00{reg2}|{reg1}.00{reg2}
qstr_{reg1}.0{reg2}|{reg1}.0{reg2}
qstr_{reg1}.{reg2}|{reg1}.{reg2}
qstr_Perisno_v{s1}_|Perisno v{s1} 
qstr_Next_Page|Next Page
qstr_Game_Rules:^|Game Rules:^
qstr_0|0
qstr_Show_game_rules|Show game rules
qstr_Continue...|Continue...
qstr_Candidate_#1:_{s1}|Candidate #1: {s1}
qstr_Candidate_#2:_{s1}|Candidate #2: {s1}
qstr_{s3}_of_{s4}_wishes_|{s3} of {s4} wishes to select a new marshall and invites his vassals for a counsel. {s1} and {s2} are the likely candidates.
qstr_Who_do_you_wish_to_s|Who do you wish to support?
qstr_{s1}_gives_his_suppo|{s1} gives his support to {s2}.
qstr_Number_of_Supporters|Number of Supporters: {reg0}
qstr_{s2}_has_heard_his_v|{s2} has heard his vassals' counsel. He selects {s1} as the marshall of {s3}.
qstr_Action|Action
qstr_Mount|Mount
qstr_Attack_Type|Attack Type
qstr_Stand_Ground|Stand Ground
qstr_Charge|Charge
qstr_Follow_Me|Follow Me
qstr_Hold_This_Position|Hold This Position
qstr_Spread_Out|Spread Out
qstr_Stand_Closer|Stand Closer
qstr_Fall_Back|Fall Back
qstr_Advance|Advance
qstr_Dismount|Dismount
qstr_Fire_At_Will|Fire At Will
qstr_Hold_Your_Fire|Hold Your Fire
qstr_Use_Blunt_Weapons|Use Blunt Weapons
qstr_Use_Any_Weapon|Use Any Weapon
qstr_Ready|Ready
qstr_Wounded|Wounded
qstr_Dead|Dead
qstr_Number_of_men_knocke|Number of men knocked down: {reg1}
qstr_Number_of_men_left:_|Number of men left: {reg1}
qstr_Opponents_Beaten:_{r|Opponents Beaten: {reg1}
qstr_Opponents_Remaining:|Opponents Remaining: {reg1}
qstr_Remain_in_retirement|Remain in retirement.
qstr_Go_back_to_the_adven|Go back to the adventuring.
qstr_You_have_retired_at_|You have retired at level {reg4} after {reg5} days of adventuring.
qstr_Effect_on_Score|Effect on Score
qstr_Settlements_owned_by|Settlements owned by you: {reg0}
qstr_Friendly_Settlements|Friendly Settlements: {reg0}
qstr_Hostile_Settlements:|Hostile Settlements: {reg0}
