dlga_start:close_window.1|{s3}
dlga_start:close_window.2|이 사람들은 바빠 보인다. 내버려 두자...
dlga_start:close_window.3|이 사람들은 바빠 보인다. 내버려 두자...
dlga_start:ovkun_talk|핫, 네가 우리보다 낫다고 생각하나?
dlga_ovkun_talk:ovkun_talk_2|그런 말은 하지 않았는데...
dlga_ovkun_talk_2:ovkun_talk_3|네가 나보다 강하다고 생각하나 보지? 응?
dlga_ovkun_talk_3:ovkun_talk_4|그래, 맞아.
dlga_ovkun_talk_4:ovkun_fight_start|나는 조롱받는걸 좋아하지 않아.
dlga_ovkun_talk_3:ovkun_reason|우리는 호각이라고 생각되는데. 여기서 싸워봤자 우리 둘 다 손해를 볼 뿐이야.
dlga_ovkun_reason:close_window|뭐, 네가 말하는 대로겠군. 나는 너랑 싸워보고 싶지만 말이야. 운이 좋으면 전장에서라도 만나기를 바라도록 하지.
dlga_ovkun_talk:ovkun_fight_start|그래 맞아!
dlga_ovkun_fight_start:close_window|그 면상에서 웃음기가 사라지게 만들어주지!
dlga_member_chat:khivachis_talk|당신의 훌륭한 용병단의 일원이 되는 것은 영광입니다.
dlga_khivachis_talk:skills_k1|당신의 기술을 알고 싶군.
dlga_skills_k1:skills_k2|좋습니다.
dlga_skills_k2:khivachis_talk|확인.
dlga_khivachis_talk:close_window|우리가 헤어져야 할 시간이로군.
dlga_khivachis_talk:close_window.1|고마워.
dlga_award_fief_to_vassal:award_fief_to_vassal_defer|우리 영주와 의논을 할 때까지, 영주의 임명은 연기하고 싶군.
dlga_award_fief_to_vassal_defer:close_window|명하시는 대로, {reg33?아가씨:주군}. 이 문제는 후일로 미루어 두겠습니다.
dlga_award_fief_to_vassal_2:close_window|명하시는 대로, {reg33?아가씨:주군}. {reg6?제가:{reg7?당신께서:{s11}}} {s1}의 새로운 {reg33?아가씨:영주}가 되는 거로군요.
dlga_event_triggered:center_captured_rebellion|{s1}은(는) 누구도 관리하지 않는다. 누구에게 맡길까?
dlga_center_captured_rebellion:center_captured_rebellion_2|{s11}. {s1}
dlga_center_captured_rebellion:center_captured_rebellion_2.1|{reg0?{s65}:부디 {s65}}, 내 자신이 {s1}을(를) 가지고 싶군요.. (영토: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2.2|{s66}, 당신 자신이 {s1}을(를) 가져야 합니다. (영토: {s0})
dlga_center_captured_rebellion:center_captured_rebellion_2_defer|아직 누구에게도 맡기지 말고, 후일 정하는게 좋겠습니다.
dlga_center_captured_rebellion_2_defer:close_window|흐음. 좋다, {playername}. 그대의 제안을 따르도록 하지. {s1}의 영주를 정하는건 후일로 미루도록 하지.
dlga_center_captured_rebellion_2:close_window|흐음. 좋다, {playername}. 그대의 제안을 따르도록 하지. {reg6?나를:{reg7?그대를:{s11}}} {s1}의 새로운{reg3?여자 영주:영주}로 임명하도록 하지.
dlga_start:fighter_talk|반갑소이다. 우리는 약간의 대련으로 전투 기술을 연마하고 있소. 당신은 약간의 훈련이 필요한 것처럼 보이는구려. 우리와 함께하지 않겠소? 우리가 당신에게 몇 가지 잔재주를 보여줄 수 있을거요. 그리고 만약 당신이 전투 개념에 대한 어떠한 설명이 필요하다면, 그냥 물어보시구려. 우리가 대답해주기 위해 최선을 다하도록 하지.
dlga_start:fighter_talk.1|어떤 훈련을 하고 싶소?
dlga_fighter_pretalk:fighter_talk|당신이 원하는 훈련을 말해보시오.
dlga_fighter_talk:fighter_talk_train_attack|나는 공격을 연습하고 싶군요.
dlga_fighter_talk:fighter_talk_train_parry|나는 무기로 방어하는 법을 연습하고 싶군요.
dlga_fighter_talk:fighter_talk_train_combat|대련을 해보도록 하지요.
dlga_fighter_talk:close_window|[떠나기]
dlga_fighter_talk_train_attack:fighter_talk_train_attack_2|좋아. 공격하는 방법은 4가지가 있네. 머리 위로 상단 공격, 오른쪽 공격, 왼쪽 공격 그리고 찌르기. 이제, 내가 어느 방향으로 공격할 지를 말해주겠네, 그럼 자네가 맞는 방향의 공격을 해보게. ^^(마우스 왼쪽 클릭을 하면서, 특정 방향으로 마우스를 움직여보시오. 예를 들어, 상단 공격을 하려면, 마우스를 위쪽으로 이동시키며 왼쪽 클릭을 하면 됩니다. 스크린의 아이콘이 당신이 맞는 공격을 수행했는지 도움을 줄 것입니다.)
dlga_fighter_talk_train_attack_2:close_window|그럼 시작해 봅시다. 준비가 됐습니다.
dlga_fighter_talk_train_attack_2:fighter_pretalk|사실 다른 것을 하고 싶군요.
dlga_fighter_talk_train_parry:fighter_talk_train_parry_2|방패 없이, 무기로 방어할 때는 오직 한 방향에서만 오는 공격만 막을 수 있소. 예를 들어 막아 올렸다면, 당신은 머리 위에서 베는 공격을 막을 수 있을테지만, 측면 베기나 찌르기는 막을 수 없소. ^^(당신이 공격을 막기 위해서는 오른쪽 버튼을 누르고 있어야 합니다.)
dlga_fighter_talk_train_parry_2:fighter_talk_train_parry_3|난 이제 다른 타입의 공격을 할 것이오, 당신은 공격받기 전에 맞는 방향으로 방어하시오. 당신이 가능한한 맞게 방어해보시오. ^^(이 연습은 세팅에서 디폴트로 지정된 막는 방향 설정을 자동으로 두면 쉽습니다. 만약 설정을 키보드나 마우스로 설정하시게 되면 수동으로 방향을 지정해야 합니다. 이런 설정은 더 까다롭지만, 게임의 흥미를 높여줄 수 있습니다. 이 연습은 수동 설정을 연습하는데 유용할 것입니다.)
dlga_fighter_talk_train_parry_3:close_window|그럼 시작해 봅시다. 준비가 됐습니다.
dlga_fighter_talk_train_parry_3:fighter_pretalk|사실 다른 것을 하고 싶군요.
dlga_fighter_talk_train_combat:fighter_talk_train_combat_2|스파링은 근접전을 위한 최고의 연습 방법이라오. 우리는 지금부터 치명적이지 않은 무기로 서로와 겨룰 것이오, 한 명이 땅에 쓰러질 때까지. 물론 당신은 상처를 입을 수도 있소, 하지만 진짜 무기로 베이는 것보다 나을 것이오.
dlga_fighter_talk_train_combat_2:close_window|그럼 시작해 봅시다. 준비가 됐습니다.
dlga_fighter_talk_train_combat_2:fighter_pretalk|사실 다른 것을 하고 싶군요.
dlga_start:fighter_parry_try_again|좋군. 당신을 내 공격을 성공적으로 막았소. 당신은 이 연습을 반복할 것이고 매 시간마다 더 빨리 하게 될 것이오. 이 기술이 충분히 습득되기 전까지 말이오. 다시 한번 하길 원하시오?
