
menu_start_game_0|페리스노의 땅에 오신 것을 환영합니다. 고대의 황무지와 숲에서는 엘프와 거인이 돌아다니며, 드워프들은 훌륭한 작품을 만들어내고 인간은 강력한 제국을 형성합니다. 광대하고 이국적인 이 땅의 오래 된 이야기속에 나오는 거주지에는 드래곤이 숨어 있습니다. 작은 파벌부터 거대한 세력들까지 자신들의 주장에 따라 모든 강력한 왕국과 제국이 전토를 장악하기 위해 전쟁을 벌이고 있으며 서민들은 혼란과 파괴속에 노출되어 있습니다.당신은 위대한 성장을 이룩하기 위해 선택받은 자이며, 당신의 운명을 찾는 모험가입니다. 페리스노의 세계로!
mno_continue|계속...
mno_go_back|뒤로 가기
menu_start_phase_2|{s1}
mno_town_1|톨라니아 왕국의 레즈베레로 가는 대상에 들어간다.
mno_town_2|용의 제국의 모든홀로 가는 대상에 들어간다.
mno_town_3|드라하라 사막 국가의 훌 바라로 가는 대상에 들어간다.
mno_town_4|믹카비안 공화국의 믹칸으로 가는 배에 탄다.
mno_town_5|엘린토란 국가의 포르니른으로 가는 배에 탄다.
mno_town_6|하콘 제국의 아마르나로 가는 대상에 들어간다.
menu_start_game_3|시나리오 선택:
menu_tutorial|지역 주민들이 무기로 훈련하는 현장에 접근합니다. 전투 실력을 향상시키기 위해 여기서 연습 할 수 있습니다.
mno_go_back_dot|돌아 가기.
menu_reports|인물 명성: {reg5}^명예 등급: {reg6}^부대 사기: {reg8}^부대 크기 제한: {reg7}^
mno_troop_tree_viewer|병사 수형도 보기
mno_troop_tree_viewer_minor|병사 수형도 보기 (소규모 세력들)
mno_action_view_trade_ledger|당신의 무역 원장을 보기.
mno_action_view_trade_ledger_denied|무역 원장을 시작하기 위해 아이템을 판정한다.
mno_view_character_report|인물 보고서 보기
mno_view_party_size_report|부대 크기 보고서 보기
mno_view_weekly_budget_report|주간 예산 보고서 보기
mno_view_morale_report|부대 사기 보고서 보기
mno_view_bank_report|재무 보고서 보기
mno_dplmc_show_economic_report|번영도 보고서 보기
mno_view_political_reports|정치 및 구애 보고서 보기
mno_view_reference_materials|참고 자료
mno_resume_travelling|여행 재개.
menu_reports_political|정치 및 구애 보고서 보기
mno_view_npc_mission_report|동료의 임무 상황 보고서 보기.
mno_lord_relations|알려진 영주들과의 관계 보기.
mno_view_affiliated_family_report|소속된 가문 일원과 배우자 보고서 보기.
mno_courtship_relations|구애 관계를 보기.
mno_view_faction_relations_report|세력 관계 보고서 보기.
menu_reference_reports|참고 자료
mno_action_view_all_troops1|병과 일람 (주요 세력)
mno_action_view_all_troops2|병과 일람 (소규모 세력)
mno_action_view_all_items|모든 아이템 보기
mno_return|돌아가기
menu_custom_battle_scene|(NO TRANS)
menu_custom_battle_end|전투가 끝났습니다. {s1} 당신편은 {reg5}명의 적을 죽였고 전투중 {reg6}명의 군사를 잃었습니다. 당신 개인적으로는 {reg7}명의 적을 죽였습니다.
menu_start_game_0_5|모드 옵션 (영구적)
