
|"undefined"
str_no_string|"NO STRING!"
str_empty_string|" "
str_yes|"네."
str_no|"아니오."
str_blank_string|" "
str_noone|"아무도 없음"
str_none|"없음"
str_s50_and_s51|"{s50} 그리고 {s51}"
str_s52_and_s51|"{s52} 그리고 {s51}"
str_s5_s_party|"{s5}의 부대"
str_given_by_s1_at_s2|"{s1}이(가) {s2}에게 주어졌습니다."
str_given_by_s1_in_wilderness|"야외에 있는 동안 {s1}에게 주어졌습니다."
str_s7_raiders|"{s7} 침략자들"
str_dangerous_escapees_eliminated_by_another|"위험한 탈옥수들은 다른 부대에 의해 제거되었습니다."
str_marauding_bandits_eliminated_by_another|"약탈을 일삼는 도적들은 다른 부대에 의해 제거되었습니다."
str_demon_heretics_eliminated_by_another|"악마 숭배자들은 다른 부대에 의해 제거되었습니다."
str_bandits_eliminated_by_another|"문제를 일으키는 도적들은 다른 부대에 의해 제거되었습니다."
str_msg_battle_won|"전투 승리! tab 키를 눌러 떠나십시오..."
str_tutorial_map1|"이제 전체 지도를 보고 있습니다. 지도를 마우스 왼쪽 버튼으로 클릭하여 부대를 해당 위치로 이동하거나, 선택한 도시에 들어가거나, 선택한 부대를 따라갑니다. 부대가 움직이지 않거나, 대기 중이거나, 휴식 중이 아닌 경우 전체 지도에서 시간이 멈춥니다. 어디서나 대기하려면 스페이스 바를 길게 누르십시오."
str_randomize|"무작위"
str_charge|"문장"
str_color|"색상"
str_flip_horizontal|"상하 뒤집기"
str_flip_vertical|"좌우 뒤집기"
str_hold_fire|"사격 중지"
str_blunt_hold_fire|"둔기 / 사격 중지"
str_tutorial_ammo_refilled|"탄약 재장전."
str_tutorial_failed|"실패하셨지만 괜찮습니다. 안내를 잘 따르시면 다음에 더 잘하실 수 있으실 겁니다. Tab키를 눌러 메뉴로 돌아가서 튜토리얼을 다시 시도하실 수 있습니다."
str_finished|"(끝마침)"
str_delivered_damage|"{reg60} 피해를 입혔습니다."
str_archery_target_hit|"거리: {reg61} 야드. 점수: {reg60}"
str_use_baggage_for_inventory|"전투 중 가방을 열기 위해서 수하물을 사용하십시오. (시작 위치에 있음)"
str_cant_use_inventory_now|"지금은 가방을 열 수 없습니다."
str_cant_use_inventory_arena|"투기장에서 가방을 열 수 없습니다."
str_cant_use_inventory_disguised|"위장한 동안 가방을 열 수 없습니다."
str_cant_use_inventory_tutorial|"훈련장에서 가방을 열 수 없습니다."
str_1_denar|"1 오럼"
str_reg1_denars|"{reg1} 오럼"
str_january_reg1_reg2|"{reg2}년 1월 {reg1}일"
str_february_reg1_reg2|"{reg2}년 2월 {reg1}일"
str_march_reg1_reg2|"{reg2}년 3월 {reg1}일"
str_april_reg1_reg2|"{reg2}년 4월 {reg1}일"
str_may_reg1_reg2|"{reg2}년 5월 {reg1}일"
str_june_reg1_reg2|"{reg2}년 6월 {reg1}일"
str_july_reg1_reg2|"{reg2}년 7월 {reg1}일"
str_august_reg1_reg2|"{reg2}년 8월 {reg1}일"
str_september_reg1_reg2|"{reg2}년 9월 {reg1}일"
str_october_reg1_reg2|"{reg2}년 10월 {reg1}일"
str_november_reg1_reg2|"{reg2}년 11월 {reg1}일"
str_december_reg1_reg2|"{reg2}년 12월 {reg1}일"
str_town_nighttime|"밤이 깊었고 정직한 사람들은 거리를 떠났습니다."
str_door_locked|"문이 잠겨 있습니다."
str_castle_is_abondened|"성은 비어있는 것 같습니다."
str_town_is_abondened|"도시에는 방어를 위한 수비대가 없습니다."
str_place_is_occupied_by_player|"당신의 부대에 의해 점령되었습니다."
str_place_is_occupied_by_enemy|"적대적인 군대에 의해 점령되었습니다."
str_place_is_occupied_by_friendly|"아군 부대에 의해 점령되었습니다."
str_do_you_want_to_retreat|"정말로 퇴각 하시겠습니까?"
str_give_up_fight|"전투를 포기하겠습니까?"
str_do_you_wish_to_leave_tutorial|"튜토리얼을 나가고 싶습니까?"
str_do_you_wish_to_surrender|"항복 하시겠습니까?"
str_can_not_retreat|"주변에 적들이 있어서, 퇴각할 수 없습니다!"
str_s1_joined_battle_enemy|"{s1}이(가) 적의 편으로 전투에 참전했습니다."
str_s1_joined_battle_friend|"{s1}이(가) 당신 편으로 전투에 참전했습니다."
str_entrance_to_town_forbidden|"도시 경비병은 침입자를 경계하고 있으며, 당신은 아무런 문제 없이 문을 통과 할 수 없을 것 같습니다."
str_sneaking_to_town_impossible|"도시 경비원이 경보를 울렸습니다. 당신이 얼마나 잘 위장되었는지에 상관없이 그 문을 통해서 몰래 들어갈 수 없습니다."
