
str_id|"dst_lang1"
hint_1|"F1 키를 길게 누르고 있으면 병사가 해당 자리로 이동하도록 명령할 수 있습니다."
hint_2|"비오는 날에는 말과 사람이 덜 빠르게 움직입니다."
hint_3|"스페이스 바를 길게 누르고 있으면 세계 지도에서 대기할 수 있습니다."
hint_4|"기록의 정보 페이지를 확인하십시오!"
hint_5|"전투 중에 부대에 명령을 내릴 수 있습니다."
hint_6|"지도를 여행할때 사기가 높은 부대가 더 빨리 움직입니다."
hint_7|"부상을 입은 부대원은 선술집에서 쉬면서 더 빨리 치료할 것입니다."
hint_8|"컨트롤 키를 누른 상태로 마우스 왼쪽 버튼으로 클릭하면 가방 화면에서 상품을 빠르게 사고 팔 수 있습니다."
hint_9|"전투 중에 백스페이스 키를 눌러 명령 화면을 불러올 수 있습니다."
hint_10|"당신은 도시나 성에 머무르는 동안 방신의 부대에게 절반의 임금만 지불할 수 있습니다. 마찬가지로 성에 주둔중인 병력에게 절반의 임금만 지급합니다."
hint_11|"탭 키를 눌러 즉시 모든 장소로부터 떠날 수 있습니다."
hint_12|"멀리 있는 적을 겨냥하려면 쉬프트 키를 누르고 있으면 확대할 수 있습니다."
hint_13|"게임 시작 후 전쟁의 안개를 언제나 켜거나 끌 수 있습니다."
