
ip_dplmc_info|"기능: 외교 모드"
ip_dplmc_info_text|"The Diplomacy mod adds several essential features to the game. Most of them are accessed via your minister and several other new potential employees: a chamberlain, a constable, and a chancellor. You gain the opportunity to hire a chamberlain when you receive your first village, a constable when you gain your first castle, and a chancellor when you gain your first town. If you dismiss one of your employees, you may be able to rehire them through a well-connected spouse or one of the travellers who frequent the taverns of Perisno.^^Aside from these the mod has other features as well, which can be accessed from the Camp menu.^^This mod uses Diplomacy Version 4.3 (Sept 22, 2012)."
ip_dplmc_autoloot|"기능: 전리품 자동 회수"
ip_dplmc_autoloot_text|"Auto Loot settings are managed through the Camp menu. It allows you to have your companions (named heroes, not ordinary soldiers) automatically select equipment from the looted items after a battle.^^In order for this feature to be enabled, one of the following must be true:^- Someone in your party must have a Looting score of 2 or better, someone in your party must have an Inventory Management skill of 3 or more.^- The player himself must have an Inventory Management skill of 2 or more."
ip_dplmc_autosell|"기능: 자동 판매"
ip_dplmc_autosell_text|"The Auto Sell feature allows you to sell numerous items to a merchant all at once, instead of selling each item individually. Auto Sell settings are managed through the Town menu, where you can specify which types of items you want to be able to sell (e.g. you might not want to automatically sell horses) and a price limit (for example, you might not want to automatically sell any items that cost more than 200 aurums).^^There are two primary ways to use Auto Sell. If you speak to a Horse Merchant, Armorer, or Weapon Merchant in a town, there is a conversation option to sell items of a particular type. Also, when visiting a town, there will be an option in the Marketplace section of the menu to automatically sell your items throughout the town.^^For people who used Auto Sell in other mods, note that this sells from your own inventory, according to certain rules. Items you have equipped will never be sold, and neither will the first three items in your inventory.  After that, autosell also skips anything that it thinks might be your personal equipment (since people often have more than one set). Regardless of whether you have them equipped, it won't sell your best bow, crossbow, armor, helmet, boots, or gloves. If you have a bow you can use, it won't sell your best three packs of arrows, and if you have a crossbow, it won't sell your best three packs of bolts. For shields, one-handed weapons, two-handed weapons, polearms, and horses, it won't sell your best or second-best item. Your best three throwing weapons also will not be sold. However, items that your character is unable to use are considered fair game."
ip_morale|"기록: 사기"
ip_morale_text|"Morale represents the ability and willingness of the troops in a party to summon up the endurance, bravery, and discipline they need to face the stresses of battle and the march. It is not the same thing as the troops' happiness. Elite troops may grumble and whine about the hardships of campaigning -- but then stand together as one when the arrows start to fly. On the other hand, a commander who gives his men everything they want may find that they grow soft, and waiver before the enemy's charge.^^ Morale's greatest impact is on a party's behavior in battle, determining how aggressively troops engage the enemy, and how likely they are to break and run if they perceive the tide of battle turning against them. Morale also affects a party's march speed, as a less motivated party will move more slowly, as the men are not pushing themselves to their physical limit, and pause more frequently, as it waits for stragglers to catch up. Finally, a party with very low morale will start to suffer desertions.^^ Some factors that affect morale are intuitive. For example, a charismatic commander with a reputation for winning battles can infuse his or her men with a sense of confidence. Leaders who give their men well ample and varied supplies of food, and pay them on time, demonstrate that they care about their troops' welfare, and are less likely to lead them into disaster.^^ Other factors are less intuitive -- particularly those related to a party's sense of group cohesion. In a small tight-knit party, for example, men will often fight hard against daunting odds to avoid showing cowardice before their comrades-in-arms. A large party on the other hand may see its cohesion strained, as the commander has less time to supervise the men, listen to their grievances, and resolve their disputes. Frequent battles will strengthen the bonds between men, while long periods without combat will see the troops become bored and quarrelsome.^^ The morale report, accessibly by hitting the 'reports' button will give the player a sense of the factors affecting his or her men's morale."
ip_economy|"기록: 경제"
ip_economy_text|"Towns and villages in Perisno need a wide variety of goods for their populations to remain healthy and productive. First in importance is food. Grain is the staple crop of Perisno, but people also need fat and protein in the form of meat, fish, or cheese. It takes almost as much work to preserve meat as to produce it in the first place, so salt is also in high demand. After food comes clothing: heavy wool, lighter linens, or luxurious velvet. Finally, people need the tools of their trade: ironware, pottery, leatherware, and, of course, arms, armor, and horses for war.^^Most agricultural products are produced in the villages, while artisans in the towns specialize in manufactured or artisanal goods like fabrics or ironware. Also, different resources can be found in different parts of the country. Consequently, the key to prosperity in Perisno is trade -- both between the villages and the towns, and between the major towns themselves.^^When trade flows, goods will be available and affordable, the population of a center will be healthy and energetic, and migrants will flock from the nearby regions. The center will produce more, consume more, and be able to contribute more in taxes to their lords. When trade dries up, towns and villages will see their workers flee to seek work elsewhere, and economic activity will drift to a stand-still. Thus, it is in the interests of rulers to protect trade routes from the hazards of war and banditry. A smart merchant, however, may want to seek out towns which have become isolated from the rest of the land, as he or she may be able to turn a tidy profit from the resulting price imbalances.^^Because villagers usually plan to take their goods to market in towns, village markets will be rather quiet places, and villagers will buy cheap and sell dear. Serious merchants will stick to the towns to make a profit, although some parties may decide to make a quick stop in a village to acquire supplies.^^A player who wants to know about the factors affecting a region's prosperity can speak to the guildmaster of the local town. Other information can be gleaned from passers-by, although they might not know very much outside of their own particular trade."
ip_foraging|"기록: 수렵 채집"
