
str_id|"dst_lang1"
pt_none|"none"
pt_rescued_prisoners|"구조된 포로"
pt_enemy|"적"
pt_hero_party|"영웅 부대"
pt_village_defenders|"마을 수비대"
pt_cattle_herd|"가축 무리"
pt_looters|"무법자들"
pt_perisno_pilgrims|"페리스노 순례자들"
pt_scholars|"학자들"
pt_manhunters|"영광을 추구하는 사람들"
pt_steppe_bandits|"사카르 약탈자들"
pt_taiga_bandits|"설적단"
pt_desert_bandits|"사적단"
pt_forest_bandits|"불법 범죄자들"
pt_mountain_bandits|"탈출한 포로들"
pt_sea_raiders|"볼헤르 침략자들"
pt_imperial_scout|"제국 정찰대"
pt_crusader_knights|"신성한 십자군들"
pt_aethling_lords|"신성한 아슬링들"
pt_rafklazan|"왕 라프클라잔"
pt_nibor|"니보르 후드"
pt_nibor_bandits|"니보르의 도적단"
pt_foreigners|"이방인 침략자들"
pt_cult_assassins|"랄'다이운 암살단"
pt_hakkon_inquisitors|"하콘 종교재판관들"
pt_falki|"일리카 팔키"
pt_amazons|"앙카스 유혹자들"
pt_eagle_brotherhood|"독수리 기사단"
pt_eagle_brotherhood1|"독수리 기사단"
pt_eagle_brotherhood2|"독수리 기사단"
pt_demon_worshippers|"악마 숭배자들"
pt_demon_worshippers1|"악마 숭배자들"
pt_demon_worshippers2|"악마 숭배자들"
pt_demonarmy|"악마 군대"
pt_eaglearmy|"독수리 전쟁 부대"
pt_zolona|"졸로나"
pt_ulfheonar|"우르프헤오나르"
pt_zeladeck|"선택받은 자 젤라덱"
pt_lymbard|"림바르디안 기사단"
pt_desouk|"데소크 노예들"
pt_rivermen|"강의 주민"
pt_femmercenaries|"무법 여성 용병단"
pt_mercenaries|"무법 용병단"
pt_wolf_knights|"늑대 기사단"
pt_wolfarmy|"늑대 기사단 전쟁 부대"
pt_firstlegion|"제 3 군단"
pt_legionscout|"제 3 군단 정찰대"
pt_legionpatrol|"제 3 군단 순찰대"
pt_geldar_scouts|"겔다린 정찰대"
pt_geldar_infantry|"겔다린 보병 연대"
pt_geldar_warparty|"겔다린 전쟁 부대"
pt_geldar_rangers|"겔다린 정예 순찰대"
pt_geldar_army|"겔다린 군대"
pt_valahir_people|"발라히르 사람들"
pt_onishi|"오니시"
pt_yachamoci|"장군 야차모치"
pt_torlan|"톨란 킹스맨 정예부대"
pt_amara|"고위 용의 사제들"
pt_zengi|"드라하라 코끼리 용병단"
pt_culgrah|"신성한 아슬링 정예부대"
pt_eli_elite|"엘린토란 정예부대"
pt_baibars|"하콘 고위 종교 재판관"
pt_voldeburg_caravan|"볼데부르크 대상"
pt_local_lord|"지방 용의 제국 영주"
pt_gunnarr|"군나르"
pt_dpriests|"용의 사제들"
pt_mercs_pary_1|"용병단"
pt_mercs_pary_2|"진 용병단"
pt_mercs_pary_3|"수도 전사단"
pt_mercs_pary_4|"수녀 전사단"
pt_mercs_pary_5|"노다흐 용병단"
pt_mercs_pary_6|"시드햇혼 용병단"
pt_mercs_pary_7|"레무스 경비단"
pt_mercs_pary_8|"하콘 동방 회사"
pt_mercs_pary_9|"아슬링 필리버스터 수행단"
pt_mercs_pary_10|"십자군 용병단"
pt_mercs_pary_11|"약탈단"
pt_mercs_pary_12|"자유용병 기병대"
pt_deserters|"탈영병"
pt_merchant_caravan|"상인 대상"
pt_troublesome_bandits|"귀찮은 도적들"
pt_bandits_awaiting_ransom|"몸값을 기다리는 도적들"
pt_kidnapped_girl|"납치된 소녀"
pt_village_farmers|"마을 농부들"
pt_spy_partners|"평범한 여행자"
pt_unrem_travellers|"평범한 여행자"
pt_runaway_serfs|"도망친 농노들"
pt_spy|"평범한 도시민"
pt_sacrificed_messenger|"희생된 전령"
pt_forager_party|"수렵 채집 부대"
pt_scout_party|"정찰대"
pt_patrol_party|"순찰대"
pt_mercenary_patrol|"용병 순찰대"
pt_minor_nobles|"하급 귀족들"
pt_messenger_party|"전령"
pt_raider_party|"침략자들"
pt_raider_captives|"침략자의 포로들"
pt_kingdom_caravan_party|"대상"
pt_prisoner_train_party|"포로 운송대"
pt_default_prisoners|"Default Prisoners"
pt_routed_warriors|"패주병들"
pt_deer_herd|"사슴 무리"
pt_boar_herd|"멧돼지 무리"
pt_wolf_herd|"늑대 무리"
pt_coat_herd|"염소 무리"
pt_coatb_herd|"염소 무리"
pt_wilddonkey_herd|"야생 당나귀 무리"
pt_center_reinforcements|"지원군"
pt_kingdom_hero_party|"전쟁 부대"
