
skl_trade|교역
skl_trade_desc|이 기술에 투자할 때마다 거래에 대한 패널티를 5%%감소 시켜 줍니다. (부대 기술)
skl_leadership|지도력
skl_leadership_desc|이 기술에 투자할 때마다 부대의 최대 인원이 10명씩 올라가며, 부대의 사기가 늘어나며 임금 또한 5%%씩 줄어듭니다. (지도자 기술)
skl_prisoner_management|포로 관리
skl_prisoner_management_desc|이 기술에 투자할 때마다 수용할 수 있는 포로가 부대 병사 10명 당 1명씩 증가합니다. 기술 점수 마다 최소 2명의 최대 수감자가 늘어납니다. (지도자 기술)
skl_reserved_1|Reserved Skill 1
skl_reserved_1_desc|This is a reserved skill.
skl_reserved_2|Reserved Skill 2
skl_reserved_2_desc|This is a reserved skill.
skl_reserved_3|Reserved Skill 3
skl_reserved_3_desc|This is a reserved skill.
skl_reserved_4|Reserved Skill 4
skl_reserved_4_desc|This is a reserved skill.
skl_persuasion|설득
skl_persuasion_desc|이 기술은 다른 사람들이 당신의 의견을 받아 들일 수 있게 도와줍니다. 또한 NPC가 원하는 일을 수행하는데 필요한 최소 수준의 관계를 낮춥니다. (개인 기술)
skl_engineer|공학
skl_engineer_desc|이 기술에 투자하면 공성 장비와 봉토의 개선을 보고 효율적으로 구성할 수 있습니다. (부대 기술)
skl_first_aid|응급 처치
skl_first_aid_desc|이 기술에 투자할 때마다 영웅이 임무 중에 상실한 체력을 회복하는 양이 5%% 씩 늘어납니다. (부대 기술)
skl_surgery|수술
skl_surgery_desc|이 기술에 투자할 때마다 아군이 사망하지 않고 부상당 할 확률을 4%% 씩 올려줍니다. (부대 기술)
skl_wound_treatment|상처 치료
skl_wound_treatment_desc|이 기술에 투자할 때마다 부대의 체력 회복속도가 20%% 씩 증가합니다. (부대 기술)
skl_inventory_management|재고 관리
skl_inventory_management_desc|이 기술에 투자할 때마다 가방 용량이 +6 증가합니다. (지도자 기술)
skl_spotting|정찰
skl_spotting_desc|이 기술에 투자할 때마다 부대의 시야 거리가 10%% 씩 상승합니다. (부대 기술)
skl_pathfinding|길 찾기
skl_pathfinding_desc|지도상에서 부대의 이동속도가 3%% 씩 상승합니다. (부대 기술)
skl_tactics|전술
skl_tactics_desc|이 기술에 두 번 투자할 때마다 전투시 유리함이 1 씩 증가합니다. (부대 기술)
skl_tracking|추적
skl_tracking_desc|흔적이 더 많은 정보를 보여줍니다. (부대 기술)
skl_trainer|훈련 교관
skl_trainer_desc|매일, 이 능력을 가진 모든 영웅들보다 레벨이 낮은 부대원들에게 경험치를 줍니다. 기술의 레벨에 따라 : {0,4,10,16,23,30,38,46,55,65,80}. (개인 기술)
skl_reserved_5|Reserved Skill 5
skl_reserved_5_desc|This is a reserved skill.
skl_reserved_6|Reserved Skill 6
skl_reserved_6_desc|This is a reserved skill.
skl_reserved_7|Reserved Skill 7
skl_reserved_7_desc|This is a reserved skill.
skl_foraging|수렵 채집
skl_foraging_desc|이 기술에 투자할 때마다 부대가 섭취하는 음식을 5개씩 늘려주며 (야영, 공성, 습격) 수렵 채집의 범위를 늘려줍니다. (부대 기술) 최대 레벨: 10.
skl_looting|전리품
skl_looting_desc|이 기술에 투자할 때마다 얻을 수 있는 전리품 양이 10%% 씩 늘어납니다. (부대 기술)
skl_horse_archery|기마 궁술
skl_horse_archery_desc|말에 타고 있을 때, 활과 투척무기의 공격력과 정확도에 대한 불이익이 감소합니다. (개인 기술)
skl_riding|승마
skl_riding_desc|높은 수준의 말을 탈 수 있고 말의 속도와 방향 전환 속도가 빨라집니다. (개인 기술)
skl_athletics|육상
skl_athletics_desc|달리기의 속도가 상승합니다. (개인 기술)
skl_shield|방패
skl_shield_desc|방패로 전달되는 공격력의 8%%를 감소시키고 방패의 사용속도와 방어 범위가 증가합니다. (개인 기술)
skl_weapon_master|무기의 달인
skl_weapon_master_desc|무기 숙련도를 쉽게 얻을 수 있으며 최대 숙련도가 향상됩니다. 한계는 다음과 같습니다: 60, 100, 140, 180, 220, 260, 300, 340, 380, 420. (개인 기술)
skl_reserved_9|Reserved Skill 9
skl_reserved_9_desc|This is a reserved skill.
skl_reserved_10|Reserved Skill 10
skl_reserved_10_desc|This is a reserved skill.
skl_reserved_11|Reserved Skill 11
skl_reserved_11_desc|This is a reserved skill.
skl_reserved_12|Reserved Skill 12
skl_reserved_12_desc|This is a reserved skill.
skl_reserved_13|Reserved Skill 13
skl_reserved_13_desc|This is a reserved skill.
skl_power_draw|궁술
skl_power_draw_desc|캐릭터가 좀 더 강한 활을 사용할 수 있게 해줍니다. 이 기술에 투자할 때마다 (당기는 힘 4 이상을 요구하는) 활의 공격력이 14%% 씩 상승합니다. (개인 기술)
skl_power_throw|투척
skl_power_throw_desc|이 기술에 투자할 때마다 투척 공격력이 10%% 씩 상승합니다. (개인 기술)
skl_power_strike|강력한 일격
skl_power_strike_desc|이 기술에 투자할 때마다 근접 공격 피해량을 8%% 씩 올려줍니다. (개인 기술)
skl_ironflesh|강철같은 피부
skl_ironflesh_desc|이 기술에 투자할 때마다 체력이 +2 됩니다. (개인 기술)
skl_reserved_14|Reserved Skill 14
skl_reserved_14_desc|This is a reserved skill.
skl_reserved_15|Reserved Skill 15
skl_reserved_15_desc|This is a reserved skill.
skl_reserved_16|Reserved Skill 16
skl_reserved_16_desc|This is a reserved skill.
skl_reserved_17|Reserved Skill 17
skl_reserved_17_desc|This is a reserved skill.
skl_reserved_18|Reserved Skill 18
skl_reserved_18_desc|This is a reserved skill.
